attendance,predicted_attendance,percentage error
41397,33058.798504957,-20.1420428896852
28987,28198.7582021623,-2.71929415889104
25427,26785.8468693484,5.34411007727395
28831,28571.0965971972,-0.901472036359449
37181,35727.8325985894,-3.90836018775879
40467,37761.0898673436,-6.68670801555936
31789,33366.9997249871,4.9639803862565
28843,25575.3592919939,-11.3290597649553
27937,26360.2037819732,-5.64411432160507
33223,30807.645272099,-7.27012830840376
37419,37352.4920842162,-0.177738356941255
40899,39145.1038910399,-4.28835939499762
33674,37465.9934243393,11.260893936982
